student_id,gender,classification,classification_sub,nationality,sg_pr_status,course_years_remaining,faculty,offered,application_term,course
24026,Female,Undergraduate,Senior UG,Indonesian,Non PR,5,School of Computing,No,2024-25 Semester 1 & 2,Bachelor of Computing
24026,Female,Undergraduate,Senior UG,Indonesian,Non PR,5,School of Computing,Yes,2022-23 Semester 1 & 2,Bachelor of Computing
24026,Female,Undergraduate,Senior UG,Indonesian,Non PR,5,School of Computing,Yes,2023-24 Semester 1 & 2,Bachelor of Computing
24027,Male,Undergraduate,Senior UG,"Korea, Republic of",Non PR,6,College of Design and Eng,No,2024-25 Semester 1 & 2,Bachelor of Engineering
24027,Male,Undergraduate,Senior UG,"Korea, Republic of",Non PR,6,College of Design and Eng,Yes,2022-23 Semester 1 & 2,Bachelor of Engineering
24028,Female,Undergraduate,Senior UG,China,Non PR,5,School of Computing,Yes,2022-23 Semester 1 & 2,Bachelor of Science (SOC)
24030,Male,Undergraduate,Senior UG,Indian,Non PR,5,NUS Business School,Yes,2022-23 Semester 1 & 2,Bachelor of Business Admin
24030,Male,Undergraduate,Senior UG,Indian,Non PR,5,NUS Business School,Yes,2023-24 Semester 1 & 2,Bachelor of Business Admin
24031,Female,Undergraduate,Senior UG,China,Non PR,5,NUS Business School,No,2023-24 Semester 1 & 2,Bachelor of Business Admin
24031,Female,Undergraduate,Senior UG,China,Non PR,5,NUS Business School,Yes,2022-23 Semester 1 & 2,Bachelor of Business Admin
24032,Female,Undergraduate,Senior UG,"Korea, Republic of",Non PR,5,College of Design and Eng,No,2024-25 Semester 1 & 2,Bachelor of Engineering
24032,Female,Undergraduate,Senior UG,"Korea, Republic of",Non PR,5,College of Design and Eng,Yes,2023-24 Semester 1 & 2,Bachelor of Engineering
24032,Female,Undergraduate,Senior UG,"Korea, Republic of",Non PR,5,College of Design and Eng,Yes,2022-23 Semester 1 & 2,Bachelor of Engineering
24034,Female,Undergraduate,Senior UG,China,PR,5,NUS Business School,Yes,2023-24 Semester 1 & 2,Bachelor of Business Admin
24034,Female,Undergraduate,RC Senior UG,China,PR,5,NUS Business School,Yes,2022-23 Semester 1 & 2,Bachelor of Business Admin
24035,Female,Undergraduate,Senior UG,"Korea, Republic of",Non PR,6,NUS Business School,Yes,2022-23 Semester 1 & 2,Bachelor of Business Admin
24035,Female,Undergraduate,Senior UG,"Korea, Republic of",Non PR,6,NUS Business School,Yes,2023-24 Semester 1 & 2,Bachelor of Business Admin
24035,Female,Undergraduate,Senior UG,"Korea, Republic of",Non PR,6,NUS Business School,Yes,2024-25 Semester 1 & 2,Bachelor of Business Admin
24036,Male,Undergraduate,Senior UG,Indian,Non PR,5,College of Design and Eng,No,2023-24 Semester 1 & 2,Bachelor of Engineering
24036,Male,Undergraduate,Senior UG,Indian,Non PR,5,College of Design and Eng,Yes,2022-23 Semester 1 & 2,Bachelor of Engineering
24036,Male,Undergraduate,Senior UG,Indian,Non PR,5,College of Design and Eng,Yes,2024-25 Semester 1 & 2,Bachelor of Engineering
24038,Female,Undergraduate,Senior UG,Indian,PR,5,College of Design and Eng,Yes,2023-24 Semester 1 & 2,Bachelor of Engineering
24039,Female,Undergraduate,Senior UG,Indian,PR,5,Faculty of Science,No,2022-23 Semester 1 & 2,Bachelor of Science
